City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Ancud,CL,2022-01-24 03:20:51,-41.8697,-73.8203,56.43,88,83,6.02
237,Bilma,NE,2022-01-24 03:20:51,18.6853,12.9164,53.69,27,35,10.22
238,Kurchum,KZ,2022-01-24 03:20:51,48.5722,83.6542,-13.85,97,32,0.29
239,Bhusawal,IN,2022-01-24 03:20:52,21.05,75.7667,59.68,46,0,1.48
240,San Quintin,MX,2022-01-24 03:20:52,30.4833,-115.95,60.48,54,0,6.4
241,Porto Novo,BJ,2022-01-24 03:16:19,6.4965,2.6036,75.02,83,1,4.88
242,Sitka,US,2022-01-24 03:20:52,57.0531,-135.33,37.29,93,20,0.0
243,Fortuna,US,2022-01-24 03:20:53,40.5982,-124.1573,49.98,80,0,2.48
244,Enshi,CN,2022-01-24 03:20:53,30.3,109.4833,43.88,94,100,1.36
245,Okhotsk,RU,2022-01-24 03:20:53,59.3833,143.3,-3.89,79,9,13.29
246,Padang,ID,2022-01-24 03:20:54,-0.9492,100.3543,77.05,78,96,4.9
247,Horasan,TR,2022-01-24 03:20:54,40.0458,42.1728,17.22,95,100,3.09
248,Mongar,BT,2022-01-24 03:20:54,27.2747,91.2396,47.41,48,47,1.41
249,Beringovskiy,RU,2022-01-24 03:20:55,63.05,179.3167,-20.42,97,37,6.11
250,Arman,RU,2022-01-24 03:20:55,59.7,150.1667,-2.67,80,41,7.72
251,Wiarton,CA,2022-01-24 03:20:55,44.7407,-81.1332,9.61,66,75,8.05
252,Hasaki,JP,2022-01-24 03:20:56,35.7333,140.8333,50.29,55,100,26.55
253,Kahului,US,2022-01-24 03:20:56,20.8947,-156.47,78.82,77,40,17.27
254,Esso,RU,2022-01-24 03:20:56,55.9333,158.7,5.56,91,17,3.56
255,Calvinia,ZA,2022-01-24 03:20:57,-31.4707,19.776,71.55,59,70,4.59
256,Te Anau,NZ,2022-01-24 03:20:57,-45.4167,167.7167,69.3,46,15,2.64
257,Mecca,SA,2022-01-24 03:20:57,21.4267,39.8261,65.43,75,0,5.64
258,Chuy,UY,2022-01-24 03:20:58,-33.6971,-53.4616,73.53,94,96,4.05
259,San Carlos De Bariloche,AR,2022-01-24 03:20:58,-41.1456,-71.3082,53.35,66,75,24.16
260,Saint Anthony,US,2022-01-24 03:20:58,45.0205,-93.218,7.66,81,100,1.99
261,Turayf,SA,2022-01-24 03:20:59,31.6725,38.6637,35.85,93,0,5.75
262,Berea,US,2022-01-24 03:20:59,41.3662,-81.8543,20.95,78,100,6.91
263,Buraydah,SA,2022-01-24 03:20:59,26.326,43.975,50.45,57,3,6.6
264,Prabumulih,ID,2022-01-24 03:21:00,-3.45,104.25,82.83,75,76,2.66
265,Luau,AO,2022-01-24 03:21:00,-10.7073,22.2247,60.24,96,73,3.6
266,Carndonagh,IE,2022-01-24 03:21:00,55.25,-7.2667,45.82,79,100,10.13
267,Erenhot,CN,2022-01-24 03:21:01,43.6475,111.9767,14.41,81,93,5.23
268,Shetpe,KZ,2022-01-24 03:21:01,44.1667,52.1167,28.94,70,1,20.8
269,The Valley,AI,2022-01-24 03:21:02,18.217,-63.0578,77.09,70,0,10.92
270,Beamsville,CA,2022-01-24 03:21:02,43.1668,-79.4829,15.62,74,78,4.0
271,Saskylakh,RU,2022-01-24 03:21:02,71.9167,114.0833,-22.07,100,100,4.23
272,Komsomolskiy,UZ,2022-01-24 03:21:02,40.4272,71.7189,34.52,86,75,2.3
273,Xining,CN,2022-01-24 03:21:03,36.6167,101.7667,22.15,54,1,2.21
274,Hithadhoo,MV,2022-01-24 03:21:03,-0.6,73.0833,82.45,66,99,14.54
275,Boden,SE,2022-01-24 03:21:03,65.8252,21.6886,41.0,68,98,15.66
276,Igarka,RU,2022-01-24 03:21:04,67.4667,86.5833,-21.41,100,100,1.16
277,Mosquera,CO,2022-01-24 03:16:30,4.7059,-74.2302,57.29,88,75,3.44
278,Ingham,US,2022-01-24 03:21:04,42.6,-84.3833,15.42,76,40,5.75
279,Makushino,RU,2022-01-24 03:21:04,55.2103,67.2442,-11.58,98,27,3.53
280,San Policarpo,PH,2022-01-24 03:21:05,12.1791,125.5072,80.6,89,81,11.34
