City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Zhigansk,RU,66.7697,123.3711,-24.45,100,66,4.14,broken clouds
205,Constitucion,CL,-35.3333,-72.4167,57.94,95,6,6.64,clear sky
206,Show Low,US,34.2542,-110.0298,38.08,50,0,6.91,clear sky
207,Balagansk,RU,54.0103,103.0544,-18.15,100,97,2.59,overcast clouds
208,Inegol,TR,40.0781,29.5133,27.68,93,99,4.16,overcast clouds
209,Puerto Lleras,CO,3.0223,-73.4044,82.29,49,100,2.93,overcast clouds
210,High Rock,BS,26.6208,-78.2833,69.82,84,82,14.29,broken clouds
211,Marsa Matruh,EG,31.3525,27.2453,46.6,76,40,11.5,scattered clouds
212,Carnarvon,AU,-24.8667,113.6333,78.87,69,100,17.27,overcast clouds
213,Padang,ID,-0.9492,100.3543,77.05,77,100,3.02,overcast clouds
214,Graham,US,47.0529,-122.2943,41.4,94,100,1.01,mist
215,Bozeman,US,45.6796,-111.0386,26.71,68,0,1.99,clear sky
216,Reidsville,US,36.3549,-79.6645,34.34,54,0,0.0,clear sky
217,High Level,CA,58.5169,-117.136,28.51,80,75,10.36,broken clouds
218,Scottsboro,US,34.6723,-86.0341,36.19,38,20,5.75,few clouds
219,Inta,RU,66.0317,60.1659,9.5,96,100,6.06,overcast clouds
220,Beidao,CN,34.5686,105.8933,30.38,91,100,1.83,light snow
221,Gat,IL,31.61,34.7642,45.28,100,75,26.33,broken clouds
222,Oktyabrskoye,RU,43.0645,44.7417,24.94,92,100,2.24,overcast clouds
223,Iralaya,HN,15.0,-83.2333,78.89,75,33,6.87,scattered clouds
224,Lobito,AO,-12.3481,13.5456,76.46,85,96,1.41,overcast clouds
225,Tessalit,ML,20.1986,1.0114,60.94,23,100,14.65,overcast clouds
226,Barbate,ES,36.1924,-5.9219,58.93,74,27,31.81,scattered clouds
227,Grindavik,IS,63.8424,-22.4338,28.35,93,0,8.05,clear sky
228,Panzhihua,CN,26.5851,101.7128,47.86,70,32,2.17,scattered clouds
229,Ribnica,SI,45.7386,14.7275,31.53,91,100,0.87,overcast clouds
230,Mayo,US,38.8876,-76.5119,29.3,48,0,3.0,clear sky
231,Marovoay,MG,-16.1,46.6333,75.34,93,100,4.21,light rain
232,Tiksi,RU,71.6872,128.8694,0.36,88,75,17.38,broken clouds
233,Ilinskaya,RU,45.7219,40.7211,29.48,94,100,4.21,snow
234,Trinidad,BO,-14.8333,-64.9,77.27,87,100,4.68,overcast clouds
235,Pacific Grove,US,36.6177,-121.9166,64.8,80,0,3.0,clear sky
236,Port Elizabeth,ZA,-33.918,25.5701,67.1,94,100,8.05,overcast clouds
237,Praia,CV,14.9215,-23.5087,72.14,78,75,24.16,broken clouds
238,Broome,US,42.2506,-75.833,9.01,76,8,1.01,clear sky
239,Korla,CN,41.7597,86.1469,20.8,71,0,1.59,clear sky
240,Wattegama,LK,6.7989,81.4808,70.72,92,47,3.09,scattered clouds
241,Ambon,ID,-3.6954,128.1814,87.94,70,20,4.61,few clouds
242,Palu,ID,-0.8917,119.8707,79.61,86,100,2.01,overcast clouds
243,Boa Vista,BR,2.8197,-60.6733,85.98,51,20,9.22,few clouds
244,San Jorge,AR,-31.8962,-61.8598,74.59,76,75,14.92,light rain
245,Mount Gambier,AU,-37.8333,140.7667,85.91,54,1,6.91,clear sky
246,Dali,CN,25.7,100.1833,43.0,84,96,3.4,overcast clouds
247,Opuwo,NA,-18.0607,13.84,73.31,62,95,4.43,overcast clouds
248,Uvat,RU,59.1433,68.8953,6.53,91,100,7.31,overcast clouds
249,Roma,US,43.2128,-75.4557,3.83,74,0,0.0,clear sky
250,Victoria,HK,22.2855,114.1577,69.33,87,60,1.99,broken clouds
251,Yulara,AU,-25.2406,130.9889,87.64,45,68,6.91,broken clouds
252,Alofi,NU,-19.0595,-169.9187,84.09,79,75,11.5,broken clouds
253,Jardim,BR,-21.4803,-56.1381,79.29,65,100,4.14,overcast clouds
254,Hokitika,NZ,-42.7167,170.9667,65.23,49,0,9.48,clear sky
255,Tchollire,CM,8.4022,14.1698,66.45,23,43,0.31,scattered clouds
256,Cotorra,CO,9.0389,-75.7897,77.22,88,89,6.26,overcast clouds
257,Ust-Nera,RU,64.5667,143.2,-36.76,97,62,2.46,broken clouds
258,Narsaq,GL,60.9167,-46.05,9.79,72,97,16.84,overcast clouds
259,Acarau,BR,-2.8856,-40.12,76.53,90,100,10.09,overcast clouds
260,Port Keats,AU,-14.25,129.55,85.53,72,100,12.44,light rain
261,Lata,PT,40.1629,-8.3327,48.61,79,47,4.99,scattered clouds
262,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,77,75,8.01,broken clouds
263,Nemuro,JP,43.3236,145.575,25.23,95,100,6.35,light snow
264,Shimoda,JP,34.6667,138.95,52.16,74,100,3.42,overcast clouds
265,Borujerd,IR,33.8973,48.7516,48.74,87,100,10.96,overcast clouds
266,Durban,ZA,-29.8579,31.0292,76.01,93,67,1.99,broken clouds
267,Itarema,BR,-2.9248,-39.9167,76.46,90,100,8.12,overcast clouds
268,Cahors,FR,44.4167,1.3333,39.31,83,9,1.72,clear sky
269,Kruisfontein,ZA,-34.0033,24.7314,64.89,95,87,1.32,overcast clouds
270,Faanui,PF,-16.4833,-151.75,81.07,77,27,18.52,light rain
271,Ghanzi,BW,-21.5667,21.7833,69.8,73,95,7.31,overcast clouds
272,Robore,BO,-18.3333,-59.75,80.94,61,4,5.41,clear sky
